	id	tcp	datarate	packetsize	verbose	rng	thr
38	3a0fe8dd-f706-48a8-a83d-9ee66a0013a3	False	5	1000	True	105	10.27178
39	24d898d8-7356-4e05-bd28-198d3fbd761f	True	45	1000	True	89	80.9051
40	54cd4ea9-35eb-4854-86e0-c8298dfd4a2e	False	10	1000	True	115	20.5551
41	7692da36-1c51-480c-8cba-71c49a879d23	False	45	1000	True	187	92.4312
42	ac4e995c-1f8c-4089-9671-f3f86ddae8bc	False	50	1000	True	190	101.777
43	29434093-30fa-4b60-a4a4-0477f7ef090f	True	5	1000	True	0	11.03706
44	65ca5b96-0b88-44fd-b69f-7da9e9c60c05	True	5	1000	True	6	11.03714
45	a478b27b-de4b-4f58-a8dc-4f4d737749f2	True	10	1000	True	11	22.076900000000002
46	05ee9357-d9f9-4e07-bf0b-2b02fe991ed6	True	30	1000	True	51	66.2348
47	da48593b-86d3-44bb-9859-7caf65d9b694	False	30	1000	True	159	61.6537
48	fe7b6430-2bb1-461a-b778-ee38360fdd9f	True	15	1000	True	22	33.1202
49	e146bef2-ef17-4075-9476-2d93595a40e2	False	10	1000	True	117	20.5353
50	28044608-ee1f-4b80-b69f-06aefb166207	False	40	1000	True	173	82.1939
51	2db8f0a5-e4a2-45c0-862c-fe2c1cdacb94	False	10	1000	True	116	20.5402
52	2ef15fb9-7b9d-44c2-b600-44a737db817f	False	30	1000	True	155	61.648700000000005
53	81ebcc17-750d-45a4-8087-2fb6cb99cbe2	True	5	1000	True	9	11.03714
54	d07888ae-bc47-4c1f-abfa-377880afcb0a	True	5	1000	True	4	11.03706
55	226a72b4-e965-4ab3-8431-be8ed5a91cf0	False	35	1000	True	169	71.8826
56	68b01947-783b-4e65-bb1b-d42cd35f6238	False	15	1000	True	125	30.84
57	c8594d83-7755-4216-9d31-19b7e5cfbf92	True	40	1000	True	70	80.8377
58	276a5581-bcd6-4d7d-9155-8fc913e05fc8	False	50	1000	True	192	101.6585
59	aad2bb56-a379-4442-80b6-c60854858078	False	15	1000	True	123	30.8318
60	a4410938-c3ae-40e0-8737-f7e51978acef	False	40	1000	True	171	82.1857
61	5b97f549-7db8-4e39-b16d-1b0be324d814	True	30	1000	True	58	66.23519999999999
62	70ad25f4-8f44-44f1-868f-c2fab8584e27	False	5	1000	True	106	10.27178
63	4340d04c-635a-40cd-97db-b1cd8a28d46d	True	40	1000	True	78	80.87620000000001
