	id	rtscts	datarate	packetsize	verbose	rng	thr1	rtr1	thr2	rtr2
0	a8915da8-7425-4b04-9bdf-cc2fc2c80035	False	1.0	1000	True	79	1.02636	622	1.02636	0
1	38581e87-7e27-4c7e-85e3-d246c986fb32	False	1.0	1000	True	78	1.02636	625	1.02636	0
2	ba0a566a-5ebf-400b-87b2-ce2a28d2e451	False	2.5	1000	True	82	0.458899	1374	2.56095	582
3	549906c9-22ec-44c7-9e6c-0675b92ad69b	True	2.5	1000	True	16	2.56589	2	2.56918	0
4	62b66333-f5ef-4a2e-ad23-01fd5830aa95	False	10.0	1000	True	115	4.14983	1043	8.16479	813
5	c55a1f8f-6fa9-4f78-89f9-767704862642	True	1.0	1000	True	7	1.02636	0	1.02636	0
6	095756d5-3a33-459c-848c-0ee329c6ddcc	False	10.0	1000	True	119	2.06916	1031	10.2224	817
7	2312a023-9fec-4c17-9551-b5dd5b0cfa33	True	1.0	1000	True	3	1.02636	0	1.02636	0
8	0b9f40c8-e3a6-429a-8947-277aa22c7326	False	20.0	1000	True	136	0.289485	855	20.3955	531
9	3cce105d-36ac-44c4-84fc-d1990ba3a073	False	15.0	1000	True	128	6.78809	1238	15.3328	826
10	6d47326f-74da-49a8-9c1c-b79c2312b87b	False	2.5	1000	True	86	0.475347	1411	2.55931	600
11	d0b3f852-20f8-4873-bbd0-f2942697428c	False	10.0	1000	True	117	3.06591	1036	8.18124	840
12	52dd4d94-3911-4e3a-ae71-9ea2615762ce	True	7.5	1000	True	37	7.70753	144	7.70095	0
13	e9bca2e9-8a62-472e-8280-1c3fc8440c77	True	1.0	1000	True	0	1.02636	0	1.02636	0
14	f0f43ff7-db08-433f-b3a7-886cb8545c45	True	10.0	1000	True	43	7.15159	111	10.2701	0
15	1bb616ac-5b9a-4c9e-9134-fc2fcb5ca5d5	True	15.0	1000	True	52	2.10534	47	15.4085	0
16	eb31e972-5abe-444a-b2ff-0605d0d1137c	False	2.5	1000	True	81	0.40791	1386	2.56918	598
17	99eab7a1-9b42-4546-8a67-8abcff5996dc	False	20.0	1000	True	131	4.39162	1181	15.7325	738
18	767b9397-0cfe-40d0-a146-9490c3f33a0f	False	5.0	1000	True	97	1.56256	1056	4.11036	424
19	a266f71f-d0c6-4bb6-a9a1-00738ab6b821	True	2.5	1000	True	10	2.56095	5	2.56918	0
20	bcbd8f65-9eab-49e6-9d2c-7e9f89c39ca3	True	5.0	1000	True	26	5.13671	11	5.12684	0
21	9af1b191-fa43-4d86-b3b7-ea5223aa1c1f	False	10.0	1000	True	112	2.0708	1035	10.2224	853
22	a0e4f310-796e-4d52-8c45-4b3985e99577	True	5.0	1000	True	24	5.13836	8	5.13671	0
23	990a56fd-b1df-4630-be25-1d3f5f3faa4c	False	5.0	1000	True	95	0.562522	1079	5.12684	456
24	5a3c64bd-5748-4a0f-9a06-69c41d2cf535	False	2.5	1000	True	85	0.924378	1107	2.05436	471
25	1b6cb017-ed16-4f0e-966f-8db27a674a00	False	7.5	1000	True	100	0.934246	1303	7.67464	814
26	0bc2d8ee-1442-4208-8b75-f34400c2ccfb	True	10.0	1000	True	48	6.93941	85	10.2784	0
27	02a61aed-fc34-4432-a1d9-61dbef8b1aaf	True	1.0	1000	True	6	1.02636	0	1.02636	0
28	9def4fc8-4928-4e9e-b14a-8eaa4df2dd61	False	5.0	1000	True	93	0.549363	1057	5.12684	458
29	1b280981-9850-4475-a640-dff3474415f6	False	5.0	1000	True	91	0.539494	1316	5.12849	558
30	004dbdd8-e39a-4052-8e72-e8b71973838f	True	15.0	1000	True	54	7.40653	52	15.3345	0
31	d70e9fd8-e19a-48fa-8126-ba69ed1f554c	True	7.5	1000	True	38	7.64668	128	7.70918	0
32	36d04b9a-9a96-442f-b425-8363a70c0f2c	True	2.5	1000	True	11	2.56589	3	2.56918	0
33	7895581f-d83f-4f5e-9b78-8a2f14b08399	False	15.0	1000	True	123	4.77485	747	15.3657	508
34	e4ee5cb2-c6e0-473a-8bc7-6f82728906da	True	20.0	1000	True	60	0.888192	43	19.6093	0
35	fcb6c627-1348-4c2f-963a-5f77f81ee104	False	1.0	1000	True	72	1.02636	623	1.02636	0
36	c6f0f1af-64ec-4ecf-be39-1a9c093feb15	True	5.0	1000	True	29	5.09395	5	5.13836	0
37	17e34c8f-eaa2-4578-9c75-520686515410	True	1.0	1000	True	8	1.02636	1	1.02636	0
38	9f28999c-9144-4e81-abab-ad8ed325070e	True	15.0	1000	True	57	1.5494	50	15.4003	0
39	991b7208-9056-43c2-a40c-bf0655b811f4	True	1.0	1000	True	5	1.02636	0	1.02636	0
40	d31a8a26-2757-4682-8a13-a76d059d3c97	False	7.5	1000	True	106	0.94576	1319	7.66148	818
41	1d00efb4-a639-48b7-97b8-d87711057705	True	7.5	1000	True	33	7.70095	140	7.69437	0
42	cc1b5144-3493-458e-af1b-c2c7bf7085d0	True	10.0	1000	True	47	7.21409	105	10.2784	0
43	31dbd109-4c06-4b1a-9fb4-06df62ca8cd1	True	20.0	1000	True	61	0.810886	36	19.6504	0
44	1ada43c1-5b4d-4d0c-b187-0597edd81007	False	15.0	1000	True	126	6.88842	1223	15.3427	904
45	0903352e-dbfb-4a07-b2bb-21c05e544574	True	7.5	1000	True	32	7.70918	136	7.69931	0
46	fac18f9f-ca68-4c7b-8ec0-a8b9e6caa811	False	7.5	1000	True	101	1.06748	1332	7.64503	865
47	af9acae9-3d4b-4715-86ae-b6ad32668670	True	10.0	1000	True	45	7.04797	117	10.2784	0
48	71f35533-d689-4f3b-9dc7-290c3967ccdf	False	20.0	1000	True	132	0.401331	899	20.3511	539
49	f5a18074-35be-4889-ac9b-44e785b7a82e	True	5.0	1000	True	23	5.12355	7	5.13836	0
50	34b66f3b-0eea-4e09-af75-027a4c796178	False	10.0	1000	True	111	2.23693	1245	10.1994	961
51	52a2c49c-18f0-4f58-9df2-ddfdc78c2d13	True	10.0	1000	True	40	6.64335	133	10.2767	0
52	b054d0c5-25bc-4057-8d8a-cd6d323b6c10	True	10.0	1000	True	44	6.82592	98	10.2636	0
53	1eda6d2c-56df-4693-bcf4-9d0fcf2b4137	False	2.5	1000	True	84	0.437517	1382	2.56589	604
54	4c673eac-acab-4948-a03d-5c2b489fe744	False	2.5	1000	True	89	0.898061	1105	2.05929	461
55	b6c67975-6f9f-48a1-9d94-763ca36e7723	True	7.5	1000	True	39	7.67464	121	7.70918	0
56	6d6e0907-350f-4996-bce0-8197104769e4	False	1.0	1000	True	77	1.02636	626	1.02471	0
57	0471ef08-39d2-45cc-b736-5d8ed75741e6	True	5.0	1000	True	21	5.11697	3	5.13836	0
58	c7444c63-6018-49fc-8abc-7a580aca5b24	False	15.0	1000	True	120	5.87852	1005	15.3476	713
59	614c2a8f-82e9-4c1e-ae82-e26fd02cc83c	True	7.5	1000	True	31	7.70095	118	7.70918	0
60	e7358d4c-52a0-4b2e-81f3-a53ff99b728f	True	1.0	1000	True	4	1.02636	0	1.02636	0
61	6e3e5d46-f2a3-4fa8-a40d-304495fee636	True	15.0	1000	True	51	7.44601	69	15.4118	0
62	495df57e-23ba-4166-81f4-3c1a7d134671	False	15.0	1000	True	122	8.88028	1029	12.285	709
63	38a6dfcd-46b6-46e0-9ff6-8e093100996a	False	2.5	1000	True	87	0.916154	1116	2.05764	485
64	18935fb7-42cc-4eba-a345-2fcaff399ab2	False	2.5	1000	True	80	0.445741	1384	2.5626	610
65	b017e570-366f-4281-b764-61698177f29c	False	2.5	1000	True	83	0.41449	1393	2.5626	592
66	ba95b35b-7105-49a3-9cc2-1aa750c118a0	True	20.0	1000	True	67	0.57568	43	19.5945	0
67	43e1e0ba-6f10-4a5f-8094-ad1d3d2491d6	True	15.0	1000	True	50	7.37199	50	15.4085	0
68	0cfe5344-378e-4fb3-adc6-580eeeaa0a49	True	5.0	1000	True	25	5.13013	6	5.13342	0
69	ef8703ce-4e71-46b4-950d-4a9090beac6f	False	1.0	1000	True	71	1.02636	515	0.824045	2
70	22c103a9-ce80-4ab5-a815-73058ff47fb5	True	5.0	1000	True	20	5.13836	8	5.13671	0
71	5c323fbc-2b9f-49c2-ad08-a89fb6ca7a69	True	10.0	1000	True	46	7.25028	106	10.2784	0
72	a1a83eab-063e-4f06-826f-f5eb8873c966	False	7.5	1000	True	104	0.950694	1050	7.67464	643
