	id	rtscts	datarate	packetsize	verbose	rng	thr1	pkl1	thr2	pkl2
57	41110af3-ff60-4ec3-b7c6-4d513e177a89	True	1	1500	True	31	1.01459 Mbps	0 %	1.01459 Mbps	0 %
58	cf39aad5-6631-4ad6-8385-9f17c425258d	True	5	1000	True	105	5.08791 Mbps	0.960512 %	5.13726 Mbps	0 %
59	1703c97c-62c8-4bee-83cc-37bfc2363da6	True	2	1000	True	62	2.05326 Mbps	0 %	2.05326 Mbps	0 %
60	7279bdf1-5bb0-47e9-bf63-972b11ff3008	False	1	100	True	206	1.2701 Mbps	0.746866 %	1.26771 Mbps	0.933582 %
61	c5cf58a6-a6b8-4f52-9880-b7f53791f8fd	True	5	500	True	99	5.27578 Mbps	0.0533476 %	5.27014 Mbps	0.160043 %
62	b6cad264-f163-4c30-8bef-6b52c5a6a144	False	10	500	True	336	1.8656 Mbps	82.331 %	2.88781 Mbps	72.6497 %
63	49dcaeec-64be-491d-8ea2-e288d4140f21	False	10	1500	True	356	0.664171 Mbps	93.4774 %	4.16838 Mbps	59.0636 %
64	07658571-b0b1-4bd3-ab14-99edcd7f6826	False	15	1000	True	386	6.10221 Mbps	60.4267 %	1.19796 Mbps	92.2311 %
65	e2270dc3-e02b-4387-a266-baac9dd94c0b	True	15	500	True	177	6.85414 Mbps	56.725 %	7.17235 Mbps	54.716 %
66	638ce50b-78ef-484d-8223-0938eef5b586	True	1	1000	True	28	1.02526 Mbps	0 %	1.02526 Mbps	0 %
67	b81da4a8-13b8-4879-8db4-41920a7a4019	False	5	1000	True	304	0.915605 Mbps	82.1772 %	2.76052 Mbps	46.2647 %
68	f8ed4170-9fea-4593-a90a-8df737a77e02	False	10	1500	True	355	0.802709 Mbps	92.1168 %	1.21018 Mbps	88.1152 %
69	373fc63a-9912-4c26-a08c-81f8a5a070f3	True	2	1500	True	78	2.03326 Mbps	0 %	2.03326 Mbps	0 %
70	c9d7a804-6c4f-421b-9052-bfd86b4096e7	True	2	1500	True	79	2.03326 Mbps	0 %	2.03326 Mbps	0 %
71	8073594f-be6f-4a77-a374-7928b784b59b	True	10	100	True	123	2.02752 Mbps	84.1596 %	2.05722 Mbps	83.9276 %
72	3160bd66-c256-4000-8554-8d0d0a6508a5	True	15	500	True	178	6.03328 Mbps	61.9077 %	8.00307 Mbps	49.4711 %
73	31307071-297f-4fdf-ac60-4b3247161272	False	5	1000	True	303	2.6399 Mbps	48.6126 %	1.04445 Mbps	79.6692 %
74	90ef730b-d965-4cd1-ba9e-320a8f861415	True	1	1500	True	39	1.01459 Mbps	0 %	1.01459 Mbps	0 %
75	b97f6b5c-3e66-4a9f-8cdc-7b497e7c9367	True	15	1500	True	191	9.7955 Mbps	35.8762 %	15.2026 Mbps	0.480128 %
76	12e89b7f-95f8-40fb-9776-63b4b742c753	True	10	1000	True	142	9.83316 Mbps	4.32115 %	8.69825 Mbps	15.3641 %
77	ffde7cf7-ebad-4de7-919a-a4b33459b94e	True	1	500	True	11	1.05459 Mbps	0 %	1.05459 Mbps	0 %
78	5e194fcc-b229-46d6-9929-fb1387eae24f	False	10	500	True	334	6.06144 Mbps	42.5923 %	1.3193 Mbps	87.505 %
79	dc810707-c01e-4def-a774-15f9cc80aebc	False	1	1000	True	221	0.984139 Mbps	4.0107 %	0.992363 Mbps	3.20856 %
80	fdd9d653-9ba0-4a05-aa96-9d07d1f90b17	True	15	1000	True	182	10.1155 Mbps	34.4 %	11.9193 Mbps	22.7022 %
81	97a8d5d3-28b6-4122-acfe-937e78b0855b	False	15	1000	True	383	1.20893 Mbps	92.16 %	6.2475 Mbps	59.4844 %
82	f7a3c1d3-d676-4e99-994d-e6727848aba7	False	5	1000	True	301	2.61797 Mbps	49.0395 %	1.06364 Mbps	79.2956 %
83	4ff4301e-5f92-450b-a356-dd3283a209fc	False	15	100	True	365	1.78039 Mbps	90.7271 %	3.25188 Mbps	83.0631 %
84	df80f13c-726b-4155-8738-2a915c0660b9	True	5	500	True	94	5.26733 Mbps	0.21339 %	5.2617 Mbps	0.320085 %
85	bf6289db-cc60-42a3-ac68-be1a50bf77de	True	1	100	True	1	1.27898 Mbps	0.0533476 %	1.27693 Mbps	0.21339 %
86	918133c3-1bfa-4b49-b33f-e3101f20b42f	False	5	500	True	299	3.26938 Mbps	38.0635 %	1.4249 Mbps	73.0061 %
87	d1b926c0-659a-4207-8d43-fdea808799bb	True	5	100	True	83	1.85515 Mbps	71.0118 %	2.23198 Mbps	65.1235 %
88	cb81f430-d95b-4098-8513-fca2555f8753	False	15	1500	True	394	5.90419 Mbps	61.3497 %	1.43021 Mbps	90.6375 %
89	ef513bfa-126b-4c06-a09d-deda44354fde	True	15	1000	True	184	11.1463 Mbps	27.7156 %	11.308 Mbps	26.6667 %
90	59baf540-4e81-4c6b-9bea-40fe61daab6b	True	1	1000	True	25	1.02526 Mbps	0 %	1.02526 Mbps	0 %
91	428037bf-ad9d-416e-9984-e5a1db9ca313	True	5	1000	True	104	5.09066 Mbps	0.90715 %	5.13726 Mbps	0 %
