	id	rtscts	hidden	tcp	datarate	packetsize	verbose	rng	thr	rtr
218	eac0489e-d986-451b-b3d2-f39e21ebe50d	True	False	False	20.0	1000	True	272	25.501	0
219	6b016ba8-d0b5-4cb8-9760-890c94ad361f	False	False	True	5.0	1000	True	449	11.02544	3292
220	6b2fb3e1-9a60-4bc7-8c6c-396cf92640da	False	True	False	7.5	1000	True	382	3.65639	2411
221	2f51b318-ad6f-4392-9b61-8b348afcd64d	False	False	False	1.0	1000	True	490	2.05272	1280
222	ebb1b420-5891-48ec-ba81-5e0dd382d745	True	True	True	20.0	1000	True	63	8.90336	128
223	f80c65e0-3a0a-4820-bd10-797faafcfe72	True	True	False	20.0	1000	True	133	23.9894	262
224	3d437838-35d9-4eaa-823f-d2045272bc9a	False	True	False	10.0	1000	True	395	2.87018	3170
225	f46cd15d-58d1-426d-b3c7-9db6c572ec74	False	True	True	15.0	1000	True	332	9.37874	1625
226	6bd1a449-4b81-4e33-9318-1dc57e3bfae5	True	False	True	20.0	1000	True	208	9.198830000000001	0
227	fe075f78-a4f0-4ace-af2f-8b1ebb0b1546	True	True	True	15.0	1000	True	50	8.80976	135
228	521d4237-50a4-4703-b221-0f43652d3b7f	False	True	False	2.5	1000	True	367	2.5379300000000002	2972
229	7fc3bb16-8068-4ede-bd01-f6aad840900a	True	True	False	20.0	1000	True	135	23.43515	202
230	b27a3140-2986-4787-bf5a-96e895ce1a4a	True	False	False	10.0	1000	True	251	20.3676	0
231	69125dae-7107-4f72-9d70-5c33e34e9857	False	False	False	5.0	1000	True	514	10.2652	3516
232	d3f4092b-108e-4247-81ce-8d9d0d450ff5	True	False	True	2.5	1000	True	151	5.51875	0
233	1237c7e2-3571-4c1f-b6ca-9b448bbec124	True	True	True	2.5	1000	True	11	5.518660000000001	231
234	40fb76cf-409d-4482-be2c-1077c79e10c1	True	False	True	5.0	1000	True	162	9.13577	0
235	7a81b3b8-5d56-4ed8-bc48-1d44c87f7f03	True	False	True	5.0	1000	True	163	9.13013	0
236	c67fbe58-57f4-4d26-9628-0dc0308ca805	False	True	False	10.0	1000	True	393	2.8751100000000003	3045
237	c6fa4017-ad0d-4724-bff0-d40599a0443c	False	True	True	2.5	1000	True	292	3.59836	1061
238	12f4146f-230a-410b-a13b-81352f2862f7	True	False	True	7.5	1000	True	178	9.18647	0
239	a755844a-9612-442c-bd54-5ed4207c2c1d	True	True	False	1.0	1000	True	73	2.05272	78
240	945bd21b-c07c-4f0d-8bc0-8bc601920f79	False	False	True	10.0	1000	True	461	12.69455	2906
241	b2c93089-8362-4294-8b5c-d372a21d8b20	True	False	True	1.0	1000	True	146	2.20514	0
242	2a02c538-5bd8-4e78-8189-6db911eaf71b	False	False	True	15.0	1000	True	475	12.29533	2921
243	7ebfc669-a415-450e-a9cb-7dede174e091	True	True	True	5.0	1000	True	26	8.73442	146
244	28aa16d9-c112-4ce7-97a0-e1e76121b395	False	True	True	7.5	1000	True	317	7.423204	1156
245	1ead06ac-5c88-4b24-ae63-98fc198a432c	False	True	False	20.0	1000	True	417	2.68924	3057
246	f6288640-89c4-4388-a226-12e5edcf44bf	True	False	True	10.0	1000	True	180	9.209520000000001	0
247	e725f77d-defb-4a5c-877a-6a97ddba4996	False	False	False	15.0	1000	True	546	29.2511	2120
248	114da000-9c7e-4c45-a1bd-ec4934749718	True	True	True	10.0	1000	True	49	9.07437	138
249	eebbc379-c184-424c-ab01-8e70fef3bb17	False	False	False	10.0	1000	True	539	20.5353	3362
250	b3f2f1ad-1a5e-46bc-ac7b-f8e35ccd82aa	True	True	False	10.0	1000	True	113	18.26057	259
251	82690f0b-f70a-4425-b573-658602604d8b	True	False	True	1.0	1000	True	143	2.20514	0
252	e398887b-d3ac-45df-b621-84fff68df8ef	False	True	False	10.0	1000	True	397	4.47057	2520
253	e2db1eb8-37e6-4386-b832-67b08a2cf07d	True	False	False	7.5	1000	True	243	15.39368	0
254	f8209db0-50da-403e-ac37-aed2b1a21a52	False	True	True	15.0	1000	True	335	6.61674	1887
255	d745bc88-8885-4e31-90b9-641f006bc94c	False	True	False	15.0	1000	True	404	5.347239999999999	2524
256	49166059-5c73-4be8-9572-32087705cc50	True	False	False	5.0	1000	True	230	10.26191	0
257	dea14607-40fc-44ed-b12a-f14ded508dc1	False	False	True	5.0	1000	True	441	11.03124	3472
258	73307bd8-dd89-4b4f-8020-8019c03e6710	False	True	False	10.0	1000	True	399	4.42616	2655
259	dae1d18c-3d2e-4bea-a0f3-6c5ee5d0ef9c	False	False	False	7.5	1000	True	525	15.41013	4340
260	6e18e075-70ce-4888-ae92-5e47fe530f5e	False	False	False	10.0	1000	True	538	20.542	3445
261	b67dc16d-bb0a-4d20-a113-cdb17dfd9972	False	False	False	2.5	1000	True	508	5.13671	1822
262	e91e3995-2066-4d1d-9d6f-86d95ae4047e	False	False	False	1.0	1000	True	492	2.05272	1272
263	9db28336-d3eb-4e10-8844-63cb35c3efc1	True	True	True	5.0	1000	True	23	8.72018	144
264	a6c58717-2587-4000-b152-ccb4f0b63128	True	True	True	7.5	1000	True	33	8.99119	136
265	fde75dc5-8eb6-4051-a709-994796485007	True	False	True	10.0	1000	True	184	9.15998	0
266	a1eae1f3-cef1-4825-a447-c22cae530f2c	False	True	True	20.0	1000	True	341	9.00835	1662
267	5856e98f-8789-4e2b-b1b9-c121c85f5c78	False	True	False	10.0	1000	True	396	4.59229	2611
268	57448897-31d3-4d39-a3f4-859a1f30bf4a	True	False	True	2.5	1000	True	159	5.51892	0
269	1761b0fb-0886-496a-a129-04207cf1f7ef	True	True	True	5.0	1000	True	24	8.61397	126
270	a858d694-c1f8-4e73-a934-39de39677830	False	True	False	1.0	1000	True	356	1.9967890000000001	2567
271	1a916ccf-7131-4307-bffe-0dd604eec6d4	False	True	True	7.5	1000	True	311	6.77455	1659
272	0a03fb4d-bce2-40e0-98f7-e35ef093d1e6	False	True	False	7.5	1000	True	386	3.65639	2422
273	ac889f0f-caa2-4a2e-bfd7-a167227c5792	False	True	True	1.0	1000	True	283	2.2058	3195
274	337b3c80-ff04-4b6e-a08e-e4a21909361a	True	False	False	5.0	1000	True	237	10.27014	0
275	e7458827-3d04-4142-a50f-f900ecba8712	False	False	False	1.0	1000	True	494	2.05272	1296
276	5564af9e-97c6-4f71-8171-3b0728e6656a	False	True	True	20.0	1000	True	344	12.007901	1115
277	fe5d4b0c-aebf-433a-af63-c0aeb08f5f80	False	True	False	10.0	1000	True	391	4.27812	2634
278	80050e78-a412-4ca3-841b-9b53342374a2	True	True	False	2.5	1000	True	88	5.13671	162
279	9507e627-cd8a-41ff-ace8-b89ec9566560	False	False	True	20.0	1000	True	484	12.26708	2763
280	39bbe0c8-7ad9-48e7-adf6-fc547d161a31	False	False	True	10.0	1000	True	467	11.86433	2799
281	296738a8-f669-4dc9-8eaf-83a5cc36d76f	False	False	True	20.0	1000	True	482	12.7334	2874
282	844bab16-ae88-40e1-8b3f-5a162dc3a3ce	True	True	False	5.0	1000	True	95	10.26356	397
283	c172527e-e8ac-4639-8966-86971e635fb5	False	False	False	5.0	1000	True	518	10.2652	3389
284	d70741b1-0da2-4a30-8cff-4f856718d90e	False	True	True	2.5	1000	True	296	3.2892099999999997	1150
285	39a8b123-920e-4fa9-a338-f9f603a8b258	False	False	False	10.0	1000	True	533	20.540300000000002	3509
286	12803857-3e95-4492-8942-70b7a4b24ea1	True	False	False	5.0	1000	True	239	10.260259999999999	0
287	e9080fbd-85bb-4fd1-9419-eb015e1c9f60	False	False	False	5.0	1000	True	516	10.27178	2884
288	c48e6129-3910-4cd9-8492-01e08dec1071	False	False	True	1.0	1000	True	428	2.20514	1471
289	8389e154-a0dd-4f41-9c83-d9cd02c58e0d	False	True	True	15.0	1000	True	337	6.68973	1493
290	38d4b560-2c36-4e0d-b4b6-f0f624622cb9	False	False	True	2.5	1000	True	432	5.51867	2796
291	20b09824-d3b7-40e1-ba73-5f87bba1092e	True	True	False	5.0	1000	True	98	10.27343	383
292	bd804315-8324-487e-90ad-f95be608ed3f	True	False	True	15.0	1000	True	192	9.2218	0
293	e05e3349-a87a-4e8a-8cb8-9ebdcdd76d1f	True	True	True	20.0	1000	True	60	8.88059	137
