	id	rtscts	hidden	datarate	packetsize	verbose	rng	thr1	rtr1	thr2	rtr2
248	ea678881-1493-4c48-8f87-5e6f19f31384	False	True	1.0	1000	True	186	1.02636	624	1.02636	0
249	8696c4bf-b366-416d-a626-625c0c4c0045	True	False	15.0	1000	True	151	12.0597	0	14.2489	0
250	d84001a4-cbdf-494d-b294-1bd96a6a9aad	False	False	10.0	1000	True	311	10.2636	3875	10.2784	31
251	fff1e8c6-5a05-4450-8978-5c3d6b10b85d	True	True	17.5	1000	True	74	6.44433	31	17.9464	0
252	da99ddb3-f712-4a7c-af9f-57f014c08049	False	False	2.5	1000	True	282	2.56918	1544	2.56753	0
253	ffa53698-c009-4e04-9821-53a7757a577d	True	True	20.0	1000	True	85	1.06912	39	19.4958	0
254	10ca81e3-2b2b-46fe-82bd-fc8e6f982086	False	False	15.0	1000	True	331	14.5269	976	15.4003	0
255	29e5db00-4c21-4872-b173-e79e760a161f	False	True	7.5	1000	True	212	0.973722	1053	7.67957	641
256	a1d9cd9d-accd-435d-9665-386a9acdaada	False	True	5.0	1000	True	202	0.53785	1045	5.13342	459
257	c0f93b3c-97ba-492d-a4a5-d944f7e714f8	True	True	5.0	1000	True	21	5.11697	3	5.13836	0
258	38d311cf-1a74-48c5-8718-44e08034835c	True	True	1.0	1000	True	9	1.02636	0	1.02636	0
259	253ba171-ef2e-4187-b107-f82569c197fb	False	True	20.0	1000	True	268	0.6168	1399	20.0485	897
260	4c64d462-25aa-4ea6-90dc-99b61b8db435	True	True	2.5	1000	True	11	2.56589	3	2.56918	0
261	439d1812-0788-41de-85eb-da427e88e35f	True	True	17.5	1000	True	79	0.914509	37	17.7227	0
262	ca06bda9-447c-4061-ab89-7f7fff7d1752	True	False	20.0	1000	True	173	11.3721	0	15.0285	0
263	23a5624d-184a-460b-aa54-0f5b73b4b81a	False	True	15.0	1000	True	241	6.80947	1262	15.341	911
264	491c992c-00fd-4d58-a00a-c5db4961e882	True	False	10.0	1000	True	139	9.93295	0	10.2734	0
265	38946122-93b0-469c-93d7-bd842dc40d98	False	True	20.0	1000	True	261	0.375014	1419	19.4415	920
266	da64b488-de72-413b-b91d-9a8b2c4480db	True	True	20.0	1000	True	87	0.437517	45	19.5896	0
267	64725719-3762-4663-bd75-da53d2e94972	False	True	5.0	1000	True	201	1.54776	1040	4.112	425
268	4e3c5a42-affa-483a-a0ed-c21a4240e70a	True	False	17.5	1000	True	166	11.3031	0	15.0993	0
269	36a34a60-3d66-497d-86f5-f13393dc086b	True	True	12.5	1000	True	55	7.02494	77	12.7768	0
270	c2fbb2db-2a0b-490e-8b67-e0eb4a1afe9f	False	False	1.0	1000	True	272	1.02636	625	1.02636	0
