	id	rtscts	datarate	packetsize	verbose	rng	thr	rtr
35	cebc1fa9-43b8-4dba-b5ce-788ebc45c69f	False	5.0	500	True	588	6.52608	2694
36	947ab83d-cfe3-41de-94ee-11ebcc814408	False	15.0	500	True	793	15.774979	2216
37	9e90ab85-7d43-4f9f-b3f7-26fc3bf1950a	True	7.5	250	True	225	8.387593	8
38	35fb5749-6f7f-454d-9c0a-02b596a12249	True	5.0	500	True	166	10.294740000000001	66
39	a2b7a27a-d4fe-455d-bf38-339d7c66e484	True	15.0	125	True	353	5.109712	7
40	c924b156-a701-4083-bf7d-f70b0b647fe2	False	15.0	125	True	777	7.845594	3004
41	102898e2-6e7e-4e54-9da6-0f5d499cc7a2	False	1.0	125	True	421	2.082518	4628
42	da08e582-2992-4381-b13e-fbb2823fbf24	False	10.0	125	True	706	7.948171	2956
43	64703cec-61b5-49a3-9173-0202f7a0f051	False	5.0	500	True	587	6.40696	2246
44	0fb2c1dd-20b4-4c0c-8b9f-71d1f9d9b530	False	7.5	1000	True	675	8.60231	1681
45	9a3af26c-4c0d-43ed-b44e-08611f35fd6e	True	2.5	1000	True	115	5.13836	3
46	6e63ab85-87ce-4ac2-bce2-62dc17b3eef4	True	1.0	750	True	32	2.07384	0
47	97ba53a4-c568-4cb3-af3c-c9e5a2f79943	True	7.5	750	True	245	13.70774	86
48	0ad8f2ca-136b-4343-8e19-30e03c6e0652	True	15.0	500	True	370	15.007895000000001	41
49	b6b177e6-27ab-4646-a289-6b6f09d4e0c8	True	15.0	2000	True	411	24.81299	158
50	bcceee60-c8fe-49d9-b7f8-eb943f2b832a	True	1.0	1000	True	43	2.05272	0
51	271bbe8f-f5f2-45e2-ae9d-0f59adbd2d61	True	1.0	125	True	2	2.44237	1
52	be46c917-64bd-4823-a2a4-a290b2c6b250	True	7.5	1500	True	266	15.27023	10
53	cf0343ca-4ffd-498b-af94-aad4d449dc83	True	15.0	250	True	363	8.813711	36
54	0ee0fa06-caa4-4c4d-bbfc-2cd7e34d6473	False	10.0	750	True	739	14.5044	2465
55	95dcc6cb-6195-4049-b095-2ffd0e525dd7	False	1.0	750	True	453	2.07384	835
56	f3a14c92-df10-4244-87ad-e69dd79a59cd	False	10.0	750	True	730	13.91193	2057
57	b7294eb4-875d-4035-9678-24fad4fdefcd	False	1.0	125	True	427	1.925599	4638
58	5dae7689-a335-4890-88e7-ab37941ce5c6	False	7.5	750	True	664	9.39949	1978
59	2244d25a-4487-4087-b4cd-bf881e97f908	False	15.0	750	True	807	15.838826	2387
60	182ad5c0-3906-4453-9118-1090a471cfd9	False	10.0	250	True	718	11.121768000000001	2473
61	1e628ddb-fcef-4237-ba48-ce025839b07e	True	7.5	250	True	227	8.276842	20
62	7aee6148-533f-4c24-a16d-5b884ad19806	True	10.0	2000	True	349	20.2736	30
63	a3769c03-80ee-4bb0-b4c0-95c5fbe458d8	True	5.0	500	True	167	10.34795	67
64	dcbe0a4d-0dfa-45e5-9129-f8354f1e828f	True	10.0	750	True	313	16.75875	57
65	fe80fb86-a923-4e7a-9d5b-99b1fe454649	False	2.5	1000	True	533	3.003402	2019
66	3c7a1946-0e5c-475b-85db-25f213031874	False	5.0	750	True	593	5.79828	2206
67	180715ee-d091-4efc-9773-37868923a250	False	10.0	750	True	736	13.891940000000002	2133
68	bed34ec9-ac05-4fa3-8785-96c5ba6e76f1	False	15.0	1500	True	825	18.06463	1578
