	id	rtscts	datarate	packetsize	verbose	rng	thr	rtr
542	0bbfbecd-24f5-4bdd-8ed2-75d53b54378e	True	1.0	1000	True	47	2.05272	0
543	cd1b3cff-072d-4307-ba05-7ea22e9a12c3	False	2.5	750	True	528	5.18335	2149
544	651e0430-09d9-4b8d-9efa-348a9d14debb	True	5.0	500	True	167	10.54987	0
545	131af27e-7480-42a4-8dda-0d8b53851af8	True	7.5	1500	True	260	15.265339999999998	0
546	660781fe-4534-44d0-80c4-3535a7552f89	True	1.0	1000	True	45	2.05272	0
547	cda21e6b-3ac0-4b8e-a81d-f86f74df3fad	False	2.5	2000	True	552	5.06838	951
548	20eba43d-9a15-4114-a50e-aa957ad16c85	False	5.0	1500	True	617	10.18504	2412
549	6ef02587-7fcf-4441-963a-190795a9469f	True	7.5	500	True	230	14.68093	0
550	acc61229-de0b-444d-a5b6-47f4c3a677b1	False	10.0	750	True	736	20.7172	2473
551	e8c5fd03-0c29-468f-8f09-aa4656854b10	True	10.0	1500	True	339	20.355400000000003	0
552	3473a341-c923-41d9-8a60-3b431bedfee2	False	1.0	500	True	441	2.11032	2524
553	12ca43d0-5fb1-457d-8a14-59179d248034	True	1.0	1500	True	50	2.03408	0
554	83fe6cc5-568d-42cf-8291-4793885f905c	True	1.0	1000	True	41	2.05272	0
555	76918d73-b935-4c56-8b9e-e841163c8eb2	False	10.0	250	True	713	15.14944	4229
556	e7c75d9b-6c58-4592-9f10-dc83241d3613	True	7.5	125	True	215	5.40372	0
557	edf5a139-4bec-4d6f-b9d3-1f841b6bd1e2	True	2.5	250	True	89	5.552	0
558	8fb5a262-869f-4f14-8240-7a758f834991	True	2.5	750	True	105	5.18459	0
559	509b116a-009d-464f-9fab-da20b8f5f235	True	2.5	125	True	78	5.40763	0
560	4f56c413-333d-45ae-bf5c-dd90ee47c65b	True	7.5	1500	True	267	15.262889999999999	0
561	a50f23d2-602d-4f50-9821-3e1865ea1928	True	10.0	750	True	314	19.25207	0
562	e57a289f-865b-4fee-86f4-cb9251e897bb	False	10.0	500	True	720	20.102	2948
563	37f76d61-ea5f-42f8-a625-f617b093838b	True	5.0	250	True	150	9.347470000000001	0
564	ac3815df-a0c5-457a-aa36-c511302973d3	False	2.5	500	True	511	5.2724	3652
565	99acdfb6-3100-4ceb-90fe-c884ff510edb	True	10.0	2000	True	345	20.2736	0
566	a5699b18-abcc-4d1d-803d-2a3099379914	False	1.0	750	True	457	2.07384	1704
567	46a476ab-85eb-437a-bee0-93fd8ec812ef	False	7.5	2000	True	694	15.18891	2633
568	7555a4c5-b54a-45a2-bd2d-cfc78aaffd37	False	7.5	500	True	654	15.8231	3548
569	aa295b2d-094b-4ad9-af00-1a28b9aeb731	False	2.5	1000	True	533	5.13836	1604
570	583fa3a0-fcd0-406d-8ec8-aa9665a7c9c1	True	2.5	250	True	85	5.552	0
571	4ac33970-5de6-4ef3-b4e8-d6df59c345ba	False	7.5	2000	True	693	15.19865	2620
572	2447270a-33fb-419c-ab54-c5234db22752	False	7.5	500	True	653	15.82057	3560
573	45781d3e-1be3-4187-ba89-2f741f492ee2	False	10.0	500	True	722	20.0977	2788
574	8b4d117c-6e0a-44a0-b9b8-4f331cd0f734	True	1.0	1500	True	55	2.03408	0
575	39e4984a-4667-4cf4-94ee-c1273a1cf5e7	False	15.0	1500	True	824	30.4964	1508
576	dd39f32c-53d6-418d-a8bc-ac69b4127577	False	7.5	750	True	664	15.542580000000001	4504
577	dba4e663-6f49-41e5-b9ef-10698a3a67f8	False	5.0	500	True	585	10.54987	5544
578	0d6f5cf7-0a8a-4bed-b804-1e228df30293	True	2.5	500	True	98	5.27747	0
579	e37c0681-63a9-4ec9-9241-fe0fadde9e31	True	15.0	250	True	361	9.337679999999999	0
580	19ad9371-9ed4-478b-8af5-fd21f7e21034	False	1.0	1000	True	466	2.05272	1296
581	f2500bdc-33c7-4eb1-9b4e-4587ea21dd78	True	10.0	250	True	291	9.35459	0
582	336ceb50-c13a-4e88-bc96-d20db9fbbfce	False	10.0	500	True	728	20.1628	2998
583	21080ef2-acc9-4a0d-8c1a-2d2550bb47dd	False	15.0	500	True	794	24.1993	3373
584	c37e4ec6-abf3-4516-b9b4-74898f750642	False	5.0	500	True	587	10.54817	5006
585	83db6abd-a55a-48b1-9245-9e7178fd6339	True	10.0	1500	True	335	20.352899999999998	0
586	aaf3dc17-2ab5-413b-9743-878ed7ba67ba	True	10.0	125	True	288	5.39588	0
587	43b463e0-a035-4800-8a35-5a79a1879344	True	5.0	500	True	162	10.54395	0
588	bf93c123-b05b-42fb-afd9-aa82b3262572	True	15.0	1000	True	397	25.589799999999997	0
589	66ec840e-e3c7-4871-be61-562fb7aea44f	False	2.5	250	True	505	5.55734	6273
590	da82ec82-463a-43f6-b547-5d3f7f8eb244	True	5.0	750	True	174	10.3667	0
591	6309920d-6e9a-4e8f-99ee-3ecf796af241	True	1.0	1000	True	46	2.05272	0
592	529229b0-7341-4b1c-b043-96745938feda	False	7.5	750	True	665	15.53386	4786
593	e86a7fb2-d942-43ea-9d5e-9f50e730541f	False	15.0	2000	True	834	30.342100000000002	1680
594	c470bc3d-a97d-498a-b6e4-933a56b1cec9	True	1.0	2000	True	65	2.02476	0
595	5f0cd44d-99be-4000-b268-e109a4b29454	True	2.5	750	True	103	5.18584	0
596	f440f79c-2bcb-4400-93e4-a3f667796648	False	1.0	2000	True	481	2.02476	638
597	5735c6c7-7119-403c-b28a-165c11fefeb0	False	1.0	1500	True	477	2.03408	850
598	ea972b02-696a-47f3-9636-5612794e5833	False	1.0	750	True	453	2.07384	1693
599	43ec0f7d-a5a7-45f9-9169-dc23928033a4	True	15.0	750	True	384	21.1218	0
600	a639f789-a558-4352-ab2e-2c3a454c2561	False	1.0	500	True	443	2.11032	2534
601	776bf5ea-302f-41ca-914b-e1393c9f2a04	False	2.5	1500	True	548	5.09008	1510
602	074af602-304c-4d04-862f-77dee696588c	False	5.0	125	True	566	9.184899999999999	4793
603	b89cd781-1f1b-4443-a5dd-d81bb6917c16	False	1.0	1000	True	467	2.05272	1280
604	441ea260-ad12-47ba-93fd-97f1de3f76ab	False	10.0	750	True	738	20.7209	2443
605	7a928038-0bc7-46fe-8cd4-cee873bf70eb	True	1.0	250	True	12	2.22178	0
606	ceaff1b9-12e5-4d3f-bc4e-5791243dd41b	True	15.0	500	True	371	15.95489	0
607	2c4deb24-6ddc-4dd3-8abf-387029a02e56	False	5.0	2000	True	626	10.133510000000001	1316
608	92e1c7f6-4ccf-4ccc-8203-2eaac8f74e94	False	2.5	750	True	526	5.1821	2142
609	19decc7c-cc75-4d06-8b35-d15989c64c09	False	10.0	2000	True	767	20.221600000000002	3074
610	748f3092-9110-436b-bc1f-e75423550d17	True	7.5	2000	True	270	15.18891	0
611	af3db024-2cf2-4fa6-9107-e9fffab86e14	True	15.0	125	True	354	5.4091000000000005	0
612	f980fde8-c7d7-4bb8-b96a-6d49d28f4335	True	15.0	1000	True	398	25.560200000000002	0
613	70a3c15b-d6d8-44da-bd3e-dfde5c26d219	True	10.0	2000	True	344	20.2671	0
614	174f43cb-6e86-46c8-816c-c89634c44dd4	False	2.5	250	True	500	5.55644	5737
615	78995aa7-e921-48fd-b82c-55a17ed5d36e	False	2.5	250	True	502	5.5502199999999995	5754
616	d57dab78-5f9a-42d5-bb9d-332a99cda4d5	True	5.0	750	True	179	10.362960000000001	0
617	dff0e03f-dbe5-4665-ae69-64d5284958df	True	1.0	750	True	31	2.07384	0
618	d461449b-02b8-471b-8150-91243f599a4f	False	5.0	250	True	574	11.105319999999999	3105
619	7ddd1a7c-f4ee-4785-9500-ccc659248984	True	15.0	750	True	380	21.145400000000002	0
620	71e0884c-10db-4067-bf41-7d65807aed8f	True	2.5	1000	True	115	5.13836	0
621	90b8441e-8b35-4d7a-95c4-cca7f330fae2	False	5.0	250	True	570	11.107990000000001	3067
622	1dcbe219-c066-48a4-a8ca-a9e7a6f84cc8	False	5.0	750	True	591	10.36421	4244
623	6ccea2bc-2d66-4772-9d63-7dddc4c2116e	False	2.5	500	True	510	5.27832	3341
624	872a5110-3e1f-41a8-9a8e-a4d14bb9cdc8	True	2.5	1000	True	112	5.133419999999999	0
625	3b4fc41d-ea4e-4dec-9be9-e07711afe792	False	5.0	500	True	589	10.55325	5393
626	39c7c103-9a46-46a7-81af-1f7d9f9c51cb	True	1.0	500	True	24	2.11032	0
627	3e72fa71-b35b-414c-9d14-bb117f570b69	False	5.0	125	True	567	9.215489999999999	4612
628	66624b33-fa94-42c1-835a-1ddd86677e9d	True	10.0	1500	True	331	20.352899999999998	0
629	77b0ad2e-ca9a-49ea-aff2-0c453391c877	False	7.5	125	True	637	9.21623	4672
