	id	rtscts	hidden	datarate	packetsize	verbose	rng	thr	rtr
0	5bbe5e88-6830-437a-9c28-fe0d24d14853	False	True	1.0	1000	True	256	2.05272	0
1	c76aa033-40d5-44af-a78d-d0a3fb5b67e3	True	True	1.0	500	True	3	2.11032	0
2	36119f03-ebd8-45f6-b671-09d56f4577a5	True	False	5.0	1000	True	176	10.26849	3210
3	d4c3851f-8229-4043-8255-6a21be7a5322	True	True	5.0	1000	True	55	10.220790000000001	28
4	d9db26ef-c3a8-400a-9c92-c0eb62fa3d29	False	False	7.5	500	True	420	15.81888	3559
5	cdfcc9b1-c3b0-4b17-8fc4-2a15ff788fcf	True	True	1.0	500	True	0	2.10863	250
6	f3d87c0f-9e3e-4755-843f-7ebadbd6a37c	True	False	1.0	500	True	126	2.11032	758
7	f7f28d39-2124-44f4-84fc-d4c1fffb3dad	True	False	5.0	500	True	167	10.54395	1668
8	2248bc72-aedc-46a9-88e9-5b6fa7391318	True	False	5.0	500	True	169	10.54479	1660
9	08f0ab24-b929-427a-bdb5-8f206997fdd0	True	True	1.0	500	True	6	2.11032	0
10	835969a3-7c0f-49fe-8835-29e3c8f810eb	False	True	15.0	500	True	349	28.1293	15
11	a81b791c-d5c7-4fdc-8d78-14a44ebf9c0c	True	True	2.5	1000	True	39	5.13671	310
12	b1ba3c9f-e4fa-405c-b004-50e7c9867fb4	True	True	10.0	500	True	88	17.63774	1
13	e2b99cd7-8171-417e-b401-5865c998cffa	True	False	15.0	1000	True	235	26.2987	0
14	9213b1b5-4fd8-4e32-8882-4d0491d01155	False	False	1.0	500	True	366	2.11032	789
15	d0a4275d-3136-44df-9855-30ff85d0e398	True	False	1.0	500	True	124	2.11032	249
16	c83c2ef7-0de4-423d-b4a3-8ab17406c765	False	False	15.0	500	True	465	24.0616	3487
17	9f1a24f3-32c8-4e18-a5ac-9b4dfac4eee2	False	True	7.5	1000	True	313	13.878820000000001	49
18	4caee07e-4779-4ac4-8a02-562d97b85411	True	False	5.0	1000	True	177	10.27014	2836
19	0e435364-dbd9-4f80-89ba-252888511615	False	True	7.5	500	True	303	15.82395	10
20	dc78b223-0bde-4389-931e-0fb7153d1dcf	True	True	1.0	500	True	4	2.11032	0
21	47445fe6-c1e1-4ed6-92bf-0f64810f47bd	True	True	2.5	1000	True	33	5.13836	0
22	1f0f004f-6c75-4e79-87b7-f6f37c8fb22a	True	True	1.0	1000	True	14	2.05272	37
23	d23f09f1-4b05-4e57-807a-1a4e23483471	False	False	10.0	500	True	445	20.0995	2961
24	e3ec6f48-3db4-40cb-95ae-e419dcd468a5	True	False	5.0	1000	True	175	10.26849	3084
25	5c57f0d7-9ce1-45eb-acb3-e1ae92ea1fcd	True	True	7.5	500	True	66	15.02646	4
26	9c2bbb1c-4b67-4a2f-9112-15e3fef24534	False	False	7.5	500	True	427	15.82817	3554
27	aad47598-64ac-4c9a-a77c-144c3d625f83	True	True	15.0	500	True	105	17.72137	9
28	8c41baf0-520b-4820-bd1e-ff077dafe3db	False	True	15.0	500	True	346	27.265	14
29	2b386525-edd4-4066-99c3-63489b25c838	True	False	2.5	1000	True	151	5.13836	1424
30	3373591f-f3f6-4906-82df-e850458de07f	False	False	5.0	1000	True	412	10.27672	3114
31	86645c66-4ec5-4aaf-9253-238fb7b84ed8	False	False	2.5	500	True	381	5.27663	1983
32	57bd99e4-ff8b-4c8a-b852-67fd39341b94	False	True	5.0	1000	True	298	9.251999999999999	38
33	6122bf8a-866d-459f-bad9-b32bc1008ccd	False	False	2.5	1000	True	390	5.13836	312
34	1e036928-4d3b-4008-8b62-2709f43bd962	False	True	15.0	500	True	340	28.218	13
35	8ba71f52-eb56-47d5-9f1e-6a3602dde4e0	False	True	7.5	1000	True	317	15.398620000000001	5
36	9f9298df-1d6f-4d17-af07-4b29ea66c85d	False	True	7.5	500	True	305	15.82057	2
37	2edf144e-d5bd-4693-a14d-2d1d6be537c0	False	True	10.0	1000	True	334	20.5288	50
38	ff5266be-0972-4cd5-a416-2bddf318764f	False	True	5.0	500	True	282	10.53297	5
39	c85ed2eb-e558-4b79-9a71-d12518316c1a	False	False	5.0	500	True	404	10.54649	5417
40	411db7e4-1ba8-469a-a0d0-57bc98dcf2e3	False	True	2.5	500	True	265	5.27494	62
41	39fa3311-7b62-43ab-9585-4f2f566407cd	True	True	7.5	500	True	64	15.03322	4
42	d53b7d3b-0915-4ea5-81cf-cdc7bd5dc582	False	True	5.0	1000	True	292	10.25368	15
43	a848c896-690e-4eff-981b-3f384bcb19b2	False	False	1.0	1000	True	375	2.05272	529
